                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.391,                 4.1123,                 1.3787,                0.00333,                      1,                 0.2423,                0.13473,                 1.2972,                 3.6102,                 1.4461,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0875,                 3.1857,                 1.1133,                0.00333,                      1,                0.52317,                0.24255,                 1.6796,                 3.7497,                 1.8171,             0.00041323,             0.00041323,             0.00041323
                      3,                 1.0056,                 2.2983,                 1.0607,                0.39932,                    0.8,                0.60081,                0.36654,                 1.3496,                 3.6069,                 1.6295,             0.00061938,             0.00061938,             0.00061938
                      4,                 1.0547,                 2.3676,                 1.0144,                0.00333,                      1,                0.70095,                0.47564,                 1.1711,                 3.6736,                 1.3701,             0.00081843,             0.00081843,             0.00081843
                      5,                 1.2296,                 2.2687,                 1.1357,                      1,                0.48613,                0.71033,                0.37056,                 1.3514,                  3.842,                  1.516,              0.0010104,              0.0010104,              0.0010104
                      6,                 1.1379,                  2.133,                 1.1248,                0.92574,                    0.4,                0.66274,                0.39732,                 1.4578,                 3.4684,                  1.747,              0.0011953,              0.0011953,              0.0011953
                      7,                 1.1124,                 2.4829,                 1.1333,                      1,                0.57031,                0.66274,                0.38669,                 1.3347,                 3.3291,                 1.5632,              0.0013731,              0.0013731,              0.0013731
                      8,                 1.0409,                 2.4095,                 1.1443,                      1,                0.58757,                0.63083,                0.41079,                 1.4442,                 3.2537,                 1.8186,              0.0015437,              0.0015437,              0.0015437
                      9,                 1.2515,                 2.1073,                 1.2165,                      1,                0.59482,                0.70957,                0.47078,                 1.3055,                 3.5452,                 1.8042,              0.0017073,              0.0017073,              0.0017073
                     10,                 1.2757,                  2.366,                 1.3328,                0.95127,                    0.6,                0.68417,                0.38917,                  1.545,                 3.3818,                 2.0914,                0.00171,                0.00171,                0.00171
                     11,                 1.2233,                  2.109,                 1.1999,                0.79548,                0.78193,                0.71585,                0.33976,                 1.4827,                 3.9251,                 2.0989,                0.00171,                0.00171,                0.00171
                     12,                 0.9328,                 2.4663,                 1.0012,                 0.6739,                      1,                0.88071,                0.47078,                 1.3808,                 2.9084,                 1.6863,              0.0016777,              0.0016777,              0.0016777
                     13,                   1.15,                 1.9132,                 1.2607,                 0.6739,                      1,                0.88071,                0.47078,                 1.3808,                 2.9084,                 1.6863,              0.0016455,              0.0016455,              0.0016455
                     14,                 1.3208,                 2.4123,                 1.4589,                0.78206,                    0.6,                0.82833,                0.35303,                 1.6364,                 3.8513,                 2.2006,              0.0016133,              0.0016133,              0.0016133
                     15,                 1.1261,                 1.9738,                 1.1526,                0.47134,                    0.8,                0.82625,                0.50008,                 1.2355,                 5.8526,                 1.6901,              0.0015811,              0.0015811,              0.0015811
                     16,                 1.1541,                  2.199,                 1.2492,                0.31417,                    0.8,                0.42778,                0.22164,                 1.4096,                 4.2755,                 2.0232,              0.0015488,              0.0015488,              0.0015488
                     17,                 1.1912,                 2.1387,                 1.1266,                0.64099,                    0.4,                0.46536,                0.27725,                 1.3361,                 3.1566,                 1.4967,              0.0015166,              0.0015166,              0.0015166
