                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3489,                 4.0609,                 1.3652,                0.00267,                    0.8,                0.42969,                0.33938,                0.78203,                 3.6751,                 1.2769,                0.00024,                0.00024,                0.00024
                      2,                 1.1945,                 3.3379,                 1.2048,                0.00333,                      1,                0.26071,                 0.1277,                 1.1184,                 3.7592,                 1.2981,              0.0004955,              0.0004955,              0.0004955
                      3,                 1.0256,                 2.4584,                 1.0688,                0.00333,                      1,                0.58519,                 0.2955,                  1.071,                 3.4329,                 1.2616,             0.00074632,             0.00074632,             0.00074632
                      4,                 1.1027,                 3.1529,                 1.2403,                0.00333,                      1,                0.59041,                0.32327,                  1.156,                 3.3477,                 1.3932,             0.00099246,             0.00099246,             0.00099246
                      5,                 1.0029,                 2.9345,                 1.0251,                0.62163,                    0.2,                0.36462,                0.26362,                 1.4674,                 3.5978,                 1.5801,              0.0012339,              0.0012339,              0.0012339
                      6,                 1.0423,                 2.6056,                 1.0984,                 0.5379,                    0.4,                0.29003,                0.20519,                 1.1817,                 3.6772,                 1.4544,              0.0014707,              0.0014707,              0.0014707
                      7,                  1.151,                 2.8392,                 1.0936,                0.87229,                    0.2,                0.38874,                0.23139,                 1.3789,                 3.4165,                  1.554,              0.0017028,              0.0017028,              0.0017028
                      8,                 1.2303,                 2.5361,                 1.1825,                0.27993,                    0.4,                0.29529,                0.16094,                 1.3091,                 3.4758,                 1.5123,               0.001874,               0.001874,               0.001874
                      9,                 1.1556,                 2.4463,                 1.1729,                0.27993,                    0.4,                0.29529,                0.16094,                 1.3091,                 3.4758,                 1.5123,               0.001874,               0.001874,               0.001874
                     10,                 1.3789,                 2.7635,                 1.2001,                0.96715,                    0.4,                0.41994,                0.29392,                 1.5001,                 3.3576,                 1.5676,               0.001856,               0.001856,               0.001856
                     11,                 1.4134,                 2.3869,                 1.1969,                      1,                 0.3814,                0.42255,                0.21042,                 1.5923,                  4.306,                  1.593,               0.001838,               0.001838,               0.001838
                     12,                 1.5723,                  2.767,                 1.3675,                0.43227,                    0.4,                0.34951,                0.18758,                 1.9674,                 4.2622,                 1.9419,                0.00182,                0.00182,                0.00182
